Country,Year,Export_tonnes
Congo,1996,780.0
Costa Rica,1996,145800.0
Côte d'Ivoire,1996,165060.0
Cuba,1996,6720.0
Democratic Republic of Congo,1996,52920.0
Dominican Republic,1996,27180.0
Ecuador,1996,92340.0
El Salvador,1996,138840.0
Equatorial Guinea,1996,120.0
Ethiopia,1996,110280.0
Gabon,1996,120.0
Ghana,1996,240.0
Guatemala,1996,238740.0
Guinea,1996,1920.0
Haiti,1996,9360.0
Honduras,1996,123600.0
India,1996,186180.0
Indonesia,1996,386400.0
Jamaica,1996,1620.0
Kenya,1996,114120.0
Lao People's Democratic Republic,1996,8640.0
Madagascar,1996,43080.0
Malawi,1996,3600.0
Mexico,1996,277980.0
Nicaragua,1996,49320.0
Nigeria,1996,420.0
Panama,1996,8340.0
Papua New Guinea,1996,65400.0
Paraguay,1996,960.0
Peru,1996,100740.0
Philippines,1996,1620.0
Rwanda,1996,15900.0
Sierra Leone,1996,1740.0
Sri Lanka,1996,720.0
Tanzania,1996,58200.0
Thailand,1996,52380.0
Togo,1996,5100.0
Trinidad & Tobago,1996,240.0
Uganda,1996,279300.0
Venezuela,1996,29700.0
Viet Nam,1996,226740.0
Yemen,1996,2520.0
Zambia,1996,2160.0
Zimbabwe,1996,9000.0
Angola,1997,3000.0
Bolivia (Plurinational State of),1997,6660.0
Brazil,1997,1008060.0
Burundi,1997,31740.0
Cameroon,1997,82080.0
Central African Republic,1997,12180.0
Colombia,1997,655140.0
Congo,1997,180.0
Costa Rica,1997,125940.0
Côte d'Ivoire,1997,282780.0
Cuba,1997,6420.0
Democratic Republic of Congo,1997,32640.0
Dominican Republic,1997,18420.0
Ecuador,1997,62700.0
El Salvador,1997,166320.0
Equatorial Guinea,1997,60.0
Ethiopia,1997,118800.0
Ghana,1997,1800.0
Guatemala,1997,254640.0
Guinea,1997,6840.0
Haiti,1997,6060.0
Honduras,1997,103320.0
India,1997,158400.0
Indonesia,1997,345300.0
Jamaica,1997,1800.0
Kenya,1997,69540.0
Lao People's Democratic Republic,1997,6600.0
Madagascar,1997,28800.0
Malawi,1997,3600.0
Mexico,1997,270120.0
Nicaragua,1997,42840.0
Nigeria,1997,420.0
Panama,1997,7440.0
Papua New Guinea,1997,62580.0
Paraguay,1997,2100.0
Peru,1997,98880.0
Philippines,1997,1860.0
Rwanda,1997,13080.0
Sierra Leone,1997,2820.0
Sri Lanka,1997,1260.0
Tanzania,1997,39300.0
Thailand,1997,63960.0
Togo,1997,18780.0
Trinidad & Tobago,1997,240.0
Uganda,1997,210120.0
Venezuela,1997,6300.0
Viet Nam,1997,370680.0
Yemen,1997,4800.0
Zambia,1997,2340.0
Zimbabwe,1997,6540.0
Angola,1998,3240.0
Bolivia (Plurinational State of),1998,5820.0
Brazil,1998,1088640.0
Burundi,1998,22440.0
Cameroon,1998,44760.0
Central African Republic,1998,6120.0
Colombia,1998,675600.0
Costa Rica,1998,122700.0
Côte d'Ivoire,1998,261900.0
Cuba,1998,9120.0
Democratic Republic of Congo,1998,38400.0
Dominican Republic,1998,21600.0
Ecuador,1998,63360.0
El Salvador,1998,101040.0
Equatorial Guinea,1998,120.0
Ethiopia,1998,115020.0
Gabon,1998,120.0
Ghana,1998,1080.0
Guatemala,1998,212520.0
Guinea,1998,13680.0
Haiti,1998,7620.0
Honduras,1998,139740.0
India,1998,209220.0
Indonesia,1998,335880.0
Jamaica,1998,1020.0
Kenya,1998,50460.0
Lao People's Democratic Republic,1998,6720.0
Liberia,1998,180.0
Madagascar,1998,47760.0
Malawi,1998,3540.0
Mexico,1998,203940.0
Nicaragua,1998,56460.0
Nigeria,1998,600.0
Panama,1998,8700.0
Papua New Guinea,1998,80940.0
Paraguay,1998,1140.0
Peru,1998,116940.0
Philippines,1998,1260.0
Rwanda,1998,12840.0
Sierra Leone,1998,2520.0
Sri Lanka,1998,1620.0
Tanzania,1998,44520.0
Thailand,1998,46680.0
Togo,1998,9960.0
Trinidad & Tobago,1998,300.0
Uganda,1998,197160.0
Venezuela,1998,16080.0
Viet Nam,1998,388020.0
Yemen,1998,4260.0
Zambia,1998,1980.0
Zimbabwe,1998,9180.0
Angola,1999,3000.0
Bolivia (Plurinational State of),1999,7440.0
Brazil,1999,1388940.0
Burundi,1999,24540.0
Cameroon,1999,69240.0
Central African Republic,1999,11700.0
Colombia,1999,599700.0
Costa Rica,1999,131700.0
Côte d'Ivoire,1999,144360.0
Cuba,1999,4620.0
Democratic Republic of Congo,1999,29220.0
Dominican Republic,1999,9660.0
Ecuador,1999,59280.0
El Salvador,1999,113400.0
Equatorial Guinea,1999,60.0
Ethiopia,1999,109080.0
Gabon,1999,120.0
Ghana,1999,5640.0
Guatemala,1999,280860.0
Guinea,1999,18060.0
Guyana,1999,60.0
Haiti,1999,4320.0
Honduras,1999,119220.0
India,1999,217320.0
Indonesia,1999,306900.0
Jamaica,1999,1440.0
Kenya,1999,66840.0
Lao People's Democratic Republic,1999,11460.0
Liberia,1999,900.0
Madagascar,1999,27840.0
Malawi,1999,3240.0
Mexico,1999,261480.0
Nicaragua,1999,59040.0
Nigeria,1999,540.0
Panama,1999,7080.0
Papua New Guinea,1999,79200.0
Paraguay,1999,180.0
Peru,1999,144420.0
Philippines,1999,540.0
Rwanda,1999,18840.0
Sierra Leone,1999,1380.0
Sri Lanka,1999,1020.0
Tanzania,1999,38580.0
Thailand,1999,29580.0
Togo,1999,19260.0
Trinidad & Tobago,1999,180.0
Uganda,1999,230460.0
Venezuela,1999,27840.0
Viet Nam,1999,463620.0
Yemen,1999,4080.0
Zambia,1999,3060.0
Zimbabwe,1999,7860.0
Angola,2000,1320.0
Bolivia (Plurinational State of),2000,6360.0
Brazil,2000,1080960.0
Burundi,2000,26640.0
Cameroon,2000,72300.0
Central African Republic,2000,12180.0
Colombia,2000,550620.0
Costa Rica,2000,117900.0
Côte d'Ivoire,2000,366600.0
Cuba,2000,6780.0
Democratic Republic of Congo,2000,16860.0
Dominican Republic,2000,9300.0
Ecuador,2000,41820.0
El Salvador,2000,152220.0
Ethiopia,2000,118920.0
Gabon,2000,60.0
Ghana,2000,5460.0
Guatemala,2000,291120.0
Guinea,2000,17520.0
Guyana,2000,60.0
Haiti,2000,4380.0
Honduras,2000,172740.0
India,2000,253740.0
Indonesia,2000,321480.0
Jamaica,2000,1740.0
Kenya,2000,79680.0
Lao People's Democratic Republic,2000,15300.0
Liberia,2000,240.0
Madagascar,2000,12960.0
Malawi,2000,3660.0
Mexico,2000,318240.0
Nicaragua,2000,82020.0
Nigeria,2000,420.0
Panama,2000,4320.0
Papua New Guinea,2000,62580.0
Paraguay,2000,300.0
Peru,2000,141720.0
Philippines,2000,300.0
Rwanda,2000,16200.0
Sierra Leone,2000,2400.0
Sri Lanka,2000,120.0
Tanzania,2000,44400.0
Thailand,2000,58200.0
Timor-Leste,2000,60.0
Togo,2000,16980.0
Trinidad & Tobago,2000,180.0
Uganda,2000,150780.0
Venezuela,2000,2280.0
Viet Nam,2000,697080.0
Yemen,2000,3480.0
Zambia,2000,3900.0
Zimbabwe,2000,7020.0
Angola,2001,840.0
Bolivia (Plurinational State of),2001,4200.0
