Country,Coffee_type,Year,Production_tonnes
Burundi,Mixed,1995,26040.0
Ecuador,Mixed,1995,113280.0
Indonesia,Mixed,1995,274380.0
Madagascar,Robusta,1995,47100.0
Malawi,Arabica,1995,5460.0
Papua New Guinea,Mixed,1995,60120.0
Paraguay,Arabica,1995,1560.0
Peru,Arabica,1995,112260.0
Rwanda,Arabica,1995,19740.0
Zimbabwe,Arabica,1995,7860.0
Congo,Robusta,1995,720.0
Cuba,Arabica,1995,17100.0
Dominican Republic,Mixed,1995,53160.0
Haiti,Arabica,1995,30840.0
Philippines,Mixed,1995,51000.0
Tanzania,Mixed,1995,53820.0
Zambia,Arabica,1995,1560.0
Cameroon,Mixed,1995,39600.0
Central African Republic,Robusta,1995,6480.0
Colombia,Arabica,1995,776280.0
Costa Rica,Arabica,1995,170640.0
Côte d'Ivoire,Robusta,1995,151920.0
Democratic Republic of Congo,Mixed,1995,65880.0
El Salvador,Arabica,1995,155100.0
Equatorial Guinea,Robusta,1995,120.0
Ethiopia,Arabica,1995,189900.0
Gabon,Robusta,1995,120.0
Ghana,Robusta,1995,3420.0
Guatemala,Mixed,1995,240120.0
Guinea,Robusta,1995,6240.0
Honduras,Arabica,1995,114540.0
India,Mixed,1995,240720.0
Jamaica,Arabica,1995,2580.0
Kenya,Arabica,1995,99840.0
Liberia,Robusta,1995,300.0
Mexico,Mixed,1995,318000.0
Nicaragua,Arabica,1995,59100.0
Nigeria,Robusta,1995,3180.0
Panama,Arabica,1995,12540.0
Sierra Leone,Robusta,1995,2640.0
Sri Lanka,Mixed,1995,2160.0
Thailand,Mixed,1995,79020.0
Togo,Robusta,1995,5040.0
Trinidad & Tobago,Robusta,1995,1080.0
Uganda,Mixed,1995,194640.0
Venezuela,Arabica,1995,88020.0
Viet Nam,Mixed,1995,238200.0
Angola,Mixed,1996,4260.0
Bolivia (Plurinational State of),Arabica,1996,7500.0
Brazil,Mixed,1996,1751820.0
Burundi,Mixed,1996,24060.0
Ecuador,Mixed,1996,119580.0
Indonesia,Mixed,1996,493260.0
Madagascar,Robusta,1996,50940.0
Malawi,Arabica,1996,2940.0
Papua New Guinea,Mixed,1996,65340.0
Paraguay,Arabica,1996,1860.0
Peru,Arabica,1996,108360.0
Rwanda,Arabica,1996,17580.0
Zimbabwe,Arabica,1996,10440.0
Congo,Robusta,1996,840.0
Cuba,Arabica,1996,21960.0
Dominican Republic,Mixed,1996,31140.0
Haiti,Arabica,1996,25680.0
Philippines,Mixed,1996,53400.0
Tanzania,Mixed,1996,45840.0
Zambia,Arabica,1996,1980.0
Cameroon,Mixed,1996,85920.0
Central African Republic,Robusta,1996,12480.0
Colombia,Arabica,1996,646740.0
Costa Rica,Arabica,1996,133320.0
Côte d'Ivoire,Robusta,1996,291540.0
Democratic Republic of Congo,Mixed,1996,47700.0
El Salvador,Arabica,1996,152040.0
Equatorial Guinea,Robusta,1996,60.0
Ethiopia,Arabica,1996,204420.0
Gabon,Robusta,1996,60.0
Ghana,Robusta,1996,1920.0
Guatemala,Mixed,1996,271500.0
Guinea,Robusta,1996,8880.0
Honduras,Arabica,1996,120240.0
India,Mixed,1996,205020.0
Jamaica,Arabica,1996,3240.0
Kenya,Arabica,1996,74820.0
Liberia,Robusta,1996,300.0
Mexico,Mixed,1996,306600.0
Nicaragua,Arabica,1996,47580.0
Nigeria,Robusta,1996,2760.0
Panama,Arabica,1996,12660.0
Sierra Leone,Robusta,1996,2460.0
Sri Lanka,Mixed,1996,2220.0
Thailand,Mixed,1996,84240.0
Togo,Robusta,1996,17460.0
Trinidad & Tobago,Robusta,1996,1080.0
Uganda,Mixed,1996,205140.0
Venezuela,Arabica,1996,72360.0
Viet Nam,Mixed,1996,345120.0
Angola,Mixed,1997,3840.0
Bolivia (Plurinational State of),Arabica,1997,8460.0
Brazil,Mixed,1997,1568880.0
Burundi,Mixed,1997,15000.0
Ecuador,Mixed,1997,71460.0
Indonesia,Mixed,1997,457260.0
Madagascar,Robusta,1997,37440.0
Malawi,Arabica,1997,3660.0
Papua New Guinea,Mixed,1997,64440.0
Paraguay,Arabica,1997,2940.0
Peru,Arabica,1997,115800.0
Rwanda,Arabica,1997,11580.0
Zimbabwe,Arabica,1997,7800.0
Congo,Robusta,1997,180.0
Cuba,Arabica,1997,18000.0
Dominican Republic,Mixed,1997,56460.0
Haiti,Arabica,1997,25920.0
Philippines,Mixed,1997,56100.0
Tanzania,Mixed,1997,37440.0
Zambia,Arabica,1997,2280.0
Cameroon,Mixed,1997,53340.0
Central African Republic,Robusta,1997,6840.0
Colombia,Arabica,1997,727320.0
Costa Rica,Arabica,1997,157020.0
Côte d'Ivoire,Robusta,1997,249840.0
Democratic Republic of Congo,Mixed,1997,48660.0
El Salvador,Arabica,1997,130500.0
Equatorial Guinea,Robusta,1997,120.0
Ethiopia,Arabica,1997,183420.0
Gabon,Robusta,1997,180.0
Ghana,Robusta,1997,1620.0
Guatemala,Mixed,1997,253140.0
Guinea,Robusta,1997,10320.0
Honduras,Arabica,1997,153840.0
India,Mixed,1997,246540.0
Jamaica,Arabica,1997,2820.0
Kenya,Arabica,1997,52920.0
Liberia,Robusta,1997,300.0
Mexico,Mixed,1997,288120.0
Nicaragua,Arabica,1997,65040.0
Nigeria,Robusta,1997,2700.0
Panama,Arabica,1997,13020.0
Sierra Leone,Robusta,1997,3000.0
Sri Lanka,Mixed,1997,3480.0
Thailand,Mixed,1997,77580.0
Togo,Robusta,1997,13260.0
Trinidad & Tobago,Robusta,1997,1140.0
Uganda,Mixed,1997,206400.0
Venezuela,Arabica,1997,57060.0
Viet Nam,Mixed,1997,418740.0
Angola,Mixed,1998,5100.0
