Country,Year,Import_tonnes
Portugal,2005,49860.0
Romania,2005,52440.0
Slovakia,2005,18480.0
Slovenia,2005,11460.0
Spain,2005,261360.0
Sweden,2005,101580.0
Japan,2005,444480.0
Norway,2005,45180.0
Russian Federation,2005,200160.0
Switzerland,2005,98460.0
Tunisia,2005,11400.0
United Kingdom,2005,205980.0
United States of America,2005,1382520.0
Austria,2006,96060.0
Belgium,2006,276300.0
Bulgaria,2006,26100.0
Croatia,2006,24240.0
Cyprus,2006,4440.0
Czechia,2006,56400.0
Denmark,2006,60240.0
Estonia,2006,15240.0
Finland,2006,70080.0
France,2006,371460.0
Germany,2006,1112580.0
Greece,2006,53820.0
Hungary,2006,54060.0
Ireland,2006,15120.0
Italy,2006,452880.0
Latvia,2006,13260.0
Lithuania,2006,19020.0
Luxembourg,2006,20160.0
Malta,2006,1740.0
Netherlands,2006,197580.0
Poland,2006,159240.0
Portugal,2006,51720.0
Romania,2006,51240.0
Slovakia,2006,20820.0
Slovenia,2006,11220.0
Spain,2006,272280.0
Sweden,2006,109200.0
Japan,2006,457920.0
Norway,2006,43860.0
Russian Federation,2006,207900.0
Switzerland,2006,90180.0
Tunisia,2006,12540.0
United Kingdom,2006,242760.0
United States of America,2006,1422540.0
Austria,2007,118080.0
Belgium,2007,240840.0
Bulgaria,2007,23580.0
Croatia,2007,24840.0
Cyprus,2007,4260.0
Czechia,2007,62220.0
Denmark,2007,59700.0
Estonia,2007,16620.0
Finland,2007,72420.0
France,2007,385200.0
Germany,2007,1173840.0
Greece,2007,64860.0
Hungary,2007,53640.0
Ireland,2007,15960.0
Italy,2007,481680.0
Latvia,2007,9060.0
Lithuania,2007,20160.0
Luxembourg,2007,21600.0
Malta,2007,960.0
Netherlands,2007,211860.0
Poland,2007,135840.0
Portugal,2007,54660.0
Romania,2007,50400.0
Slovakia,2007,30480.0
Slovenia,2007,12300.0
Spain,2007,292500.0
Sweden,2007,106200.0
Japan,2007,425160.0
Norway,2007,46800.0
Russian Federation,2007,259080.0
Switzerland,2007,109380.0
Tunisia,2007,15180.0
United Kingdom,2007,226860.0
United States of America,2007,1453140.0
Austria,2008,114060.0
Belgium,2008,407520.0
Bulgaria,2008,31020.0
Croatia,2008,24300.0
Cyprus,2008,4680.0
Czechia,2008,62220.0
Denmark,2008,54000.0
Estonia,2008,20040.0
Finland,2008,77100.0
France,2008,375120.0
Germany,2008,1192560.0
Greece,2008,63360.0
Hungary,2008,48660.0
Ireland,2008,7620.0
Italy,2008,490320.0
Latvia,2008,9240.0
Lithuania,2008,23400.0
Luxembourg,2008,21060.0
Malta,2008,1380.0
Netherlands,2008,138240.0
Poland,2008,147600.0
Portugal,2008,53100.0
Romania,2008,49560.0
Slovakia,2008,36660.0
Slovenia,2008,12300.0
Spain,2008,291840.0
Sweden,2008,108240.0
Japan,2008,423600.0
Norway,2008,43320.0
Russian Federation,2008,243180.0
Switzerland,2008,118680.0
Tunisia,2008,19080.0
United Kingdom,2008,238020.0
United States of America,2008,1456620.0
Austria,2009,78540.0
Belgium,2009,354960.0
Bulgaria,2009,31380.0
Croatia,2009,23640.0
Cyprus,2009,4320.0
Czechia,2009,55800.0
Denmark,2009,51600.0
Estonia,2009,21420.0
Finland,2009,74580.0
France,2009,400200.0
Germany,2009,1164960.0
Greece,2009,62760.0
Hungary,2009,42240.0
Ireland,2009,8520.0
Italy,2009,484680.0
Latvia,2009,7920.0
Lithuania,2009,24660.0
Luxembourg,2009,19800.0
Malta,2009,840.0
Netherlands,2009,150120.0
Poland,2009,189720.0
Portugal,2009,53220.0
Romania,2009,48660.0
Slovakia,2009,27480.0
Slovenia,2009,12600.0
Spain,2009,288660.0
Sweden,2009,99540.0
Japan,2009,425400.0
Norway,2009,43440.0
Russian Federation,2009,213180.0
Switzerland,2009,126060.0
Tunisia,2009,17340.0
United Kingdom,2009,247860.0
United States of America,2009,1414680.0
Austria,2010,82140.0
Belgium,2010,355440.0
Bulgaria,2010,31680.0
Croatia,2010,23640.0
Cyprus,2010,4620.0
Czechia,2010,57060.0
Denmark,2010,60900.0
Estonia,2010,15780.0
Finland,2010,76440.0
France,2010,403020.0
Germany,2010,1236180.0
Greece,2010,63660.0
Hungary,2010,43620.0
Ireland,2010,9900.0
Italy,2010,494160.0
Latvia,2010,8280.0
Lithuania,2010,22560.0
Luxembourg,2010,20940.0
Malta,2010,720.0
Netherlands,2010,154980.0
Poland,2010,196740.0
Portugal,2010,60600.0
Romania,2010,50340.0
Slovakia,2010,39300.0
Slovenia,2010,13080.0
Spain,2010,302040.0
Sweden,2010,103620.0
Japan,2010,444420.0
Norway,2010,45540.0
Russian Federation,2010,249300.0
Switzerland,2010,139080.0
Tunisia,2010,18240.0
United Kingdom,2010,258120.0
United States of America,2010,1462680.0
Austria,2011,87120.0
Belgium,2011,349680.0
Bulgaria,2011,28920.0
Croatia,2011,23460.0
Cyprus,2011,4920.0
Czechia,2011,57120.0
Denmark,2011,54540.0
Estonia,2011,10020.0
Finland,2011,77220.0
France,2011,419520.0
Germany,2011,1255560.0
Greece,2011,69300.0
Hungary,2011,38400.0
Ireland,2011,12600.0
Italy,2011,501300.0
Latvia,2011,8460.0
Lithuania,2011,17340.0
Luxembourg,2011,19560.0
Malta,2011,1020.0
Netherlands,2011,160680.0
Poland,2011,204240.0
Portugal,2011,63480.0
Romania,2011,50640.0
Slovakia,2011,46620.0
Slovenia,2011,13380.0
Spain,2011,289260.0
Sweden,2011,98820.0
Japan,2011,452640.0
Norway,2011,47700.0
Russian Federation,2011,253080.0
Switzerland,2011,149880.0
Tunisia,2011,25740.0
United Kingdom,2011,250980.0
United States of America,2011,1565580.0
Austria,2012,93540.0
Belgium,2012,340080.0
Bulgaria,2012,33600.0
Croatia,2012,23040.0
Cyprus,2012,5040.0
Czechia,2012,67620.0
Denmark,2012,54780.0
Estonia,2012,9420.0
Finland,2012,74280.0
France,2012,410460.0
Germany,2012,1308960.0
Greece,2012,74640.0
Hungary,2012,44880.0
Ireland,2012,15120.0
Italy,2012,521460.0
Latvia,2012,9420.0
Lithuania,2012,20220.0
Luxembourg,2012,19380.0
Malta,2012,1260.0
Netherlands,2012,163800.0
Poland,2012,212580.0
Portugal,2012,64560.0
Romania,2012,54180.0
Slovakia,2012,46320.0
Slovenia,2012,13260.0
Spain,2012,305640.0
Sweden,2012,100800.0
Japan,2012,421500.0
Norway,2012,44100.0
Russian Federation,2012,250500.0
Switzerland,2012,148680.0
Tunisia,2012,26340.0
United Kingdom,2012,247560.0
United States of America,2012,1563360.0
